architecture,day,krs,length,surface
Brassica_oleracea_Vansteenkiste_2014,7,0.005255675436226041,139.6160758115945,27.39694797981695
Brassica_oleracea_Vansteenkiste_2014,8,0.006445673240049829,187.89590238812002,34.70280916518588
Brassica_oleracea_Vansteenkiste_2014,9,0.007742356638272615,246.69024660374416,43.159795794117564
Brassica_oleracea_Vansteenkiste_2014,10,0.009125074763339987,316.5159247899535,52.7661447755724
Brassica_oleracea_Vansteenkiste_2014,11,0.010577380614053253,397.77663022215927,63.518429725877155
Brassica_oleracea_Vansteenkiste_2014,12,0.012114143052388171,493.6394860130331,75.71913125016476
Brassica_oleracea_Vansteenkiste_2014,13,0.013711281548492259,604.1023907242638,89.32637449017972
Brassica_oleracea_Vansteenkiste_2014,14,0.015331959119394892,729.0498069026703,104.28257722318466
Brassica_oleracea_Vansteenkiste_2014,15,0.016977751675200443,870.6110993327283,120.76203585651237
Brassica_oleracea_Vansteenkiste_2014,16,0.018670280569807553,1031.1082161768622,138.98978103547364
Brassica_oleracea_Vansteenkiste_2014,17,0.020358260931354098,1208.9203614580883,158.75695897696664
Brassica_oleracea_Vansteenkiste_2014,18,0.022021256212927907,1403.8142076012518,179.97206610732619
Brassica_oleracea_Vansteenkiste_2014,19,0.023722891066056795,1617.024229133396,202.71624969549475
Brassica_oleracea_Vansteenkiste_2014,20,0.025679738476099192,1851.0981450592117,227.28316521113925
Brassica_oleracea_Vansteenkiste_2014,21,0.027766452564548988,2104.7445231045544,253.5920691500492
Brassica_oleracea_Vansteenkiste_2014,22,0.02995701412514052,2376.9546114414225,281.51619394071156
Brassica_oleracea_Vansteenkiste_2014,23,0.03226770444194227,2669.239156199348,311.111286912299
Brassica_oleracea_Vansteenkiste_2014,24,0.03474510051344832,2981.716898210645,342.4340921144833
Brassica_oleracea_Vansteenkiste_2014,25,0.03724409993160047,3315.3076341336478,375.19964398050365
Brassica_oleracea_Vansteenkiste_2014,26,0.03974643695004192,3668.0652183014017,409.1591540763183
Brassica_oleracea_Vansteenkiste_2014,27,0.042238260168828895,4037.9199298171725,444.1578000554614
Brassica_oleracea_Vansteenkiste_2014,28,0.04472868473382578,4428.255696415832,480.4369833432712
Brassica_oleracea_Vansteenkiste_2014,29,0.047207846789017266,4834.739383907165,517.7807873603795
